时间,轴心轨迹
2020-12-10 01:01:24,0.31
2020-12-10 01:01:34,0.3
2020-12-10 01:01:44,0.3
2020-12-10 01:01:54,0.29
2020-12-10 01:02:04,0.28
2020-12-10 01:02:14,0.31
2020-12-10 01:02:24,0.3
2020-12-10 01:02:34,0.3
2020-12-10 01:02:44,0.29
2020-12-10 01:02:54,0.27
2020-12-10 01:03:04,0.32
2020-12-10 01:03:14,0.31
2020-12-10 01:03:24,0.29
2020-12-10 01:03:34,0.31
2020-12-10 01:03:44,0.3
2020-12-10 01:03:54,0.31
2020-12-10 01:04:04,0.29
2020-12-10 01:04:14,0.29
2020-12-10 01:04:24,0.29
2020-12-10 01:04:34,0.31
2020-12-10 01:04:44,0.28
2020-12-10 01:04:54,0.29
2020-12-10 01:05:04,0.29
2020-12-10 01:05:14,0.29
2020-12-10 01:05:24,0.29
2020-12-10 01:05:34,0.29
2020-12-10 01:05:44,0.3
2020-12-10 01:05:54,0.28
2020-12-10 01:06:04,0.3
2020-12-10 01:06:14,0.3
2020-12-10 01:06:24,0.31
2020-12-10 01:06:34,0.29
2020-12-10 01:06:44,0.31
2020-12-10 01:06:54,0.3
2020-12-10 01:07:04,0.31
2020-12-10 01:07:14,0.28
2020-12-10 01:07:24,0.31
2020-12-10 01:07:34,0.31
2020-12-10 01:07:44,0.3
2020-12-10 01:07:54,0.3
2020-12-10 01:08:04,0.3
2020-12-10 01:08:14,0.31
2020-12-10 01:08:24,0.29
2020-12-10 01:08:34,0.31
2020-12-10 01:08:44,0.37
2020-12-10 01:08:54,0.33
2020-12-10 01:09:04,0.3
2020-12-10 01:09:14,0.31
2020-12-10 01:09:24,0.32
2020-12-10 01:09:34,0.3
2020-12-10 01:09:44,0.29
2020-12-10 01:09:54,0.3
2020-12-10 01:10:04,0.31
2020-12-10 01:10:14,0.31
2020-12-10 01:10:24,0.31
2020-12-10 01:10:34,0.28
2020-12-10 01:10:44,0.3
2020-12-10 01:10:54,0.3
2020-12-10 01:11:04,0.28
2020-12-10 01:11:14,0.29
2020-12-10 01:11:24,0.3
2020-12-10 01:11:34,0.28
2020-12-10 01:11:44,0.29
2020-12-10 01:11:54,0.31
2020-12-10 01:12:04,0.29
2020-12-10 01:12:14,0.29
2020-12-10 01:12:24,0.3
2020-12-10 01:12:34,0.29
2020-12-10 01:12:44,0.29
2020-12-10 01:12:54,0.32
2020-12-10 01:13:04,0.31
2020-12-10 01:13:14,0.29
2020-12-10 01:13:24,0.29
2020-12-10 01:13:34,0.31
2020-12-10 01:13:44,0.3
2020-12-10 01:13:54,0.32
2020-12-10 01:14:04,0.28
2020-12-10 01:14:14,0.3
2020-12-10 01:14:24,0.3
2020-12-10 01:14:34,0.3
2020-12-10 01:14:44,0.3
2020-12-10 01:14:54,0.3
2020-12-10 01:15:04,0.28
2020-12-10 01:15:14,0.28
2020-12-10 01:15:24,0.28
2020-12-10 01:15:34,0.29
2020-12-10 01:15:44,0.29
2020-12-10 01:15:54,0.29
2020-12-10 01:16:04,0.29
2020-12-10 01:16:14,0.3
2020-12-10 01:16:24,0.31
2020-12-10 01:16:34,0.3
2020-12-10 01:16:44,0.32
2020-12-10 01:16:54,0.34
2020-12-10 01:17:04,0.33
2020-12-10 01:17:14,0.34
2020-12-10 01:17:24,0.3
2020-12-10 01:17:34,0.29
2020-12-10 01:17:44,0.29
2020-12-10 01:17:54,0.31
2020-12-10 01:18:04,0.31
2020-12-10 01:18:14,0.31
2020-12-10 01:18:24,0.28
2020-12-10 01:18:34,0.31
2020-12-10 01:18:44,0.31
2020-12-10 01:18:54,0.29
2020-12-10 01:19:04,0.31
2020-12-10 01:19:14,0.3
2020-12-10 01:19:24,0.32
2020-12-10 01:19:34,0.32
2020-12-10 01:19:44,0.29
2020-12-10 01:19:54,0.33
2020-12-10 01:20:04,0.3
2020-12-10 01:20:14,0.3
2020-12-10 01:20:24,0.33
2020-12-10 01:20:34,0.32
2020-12-10 01:20:44,0.33
2020-12-10 01:20:54,0.3
2020-12-10 01:21:04,0.3
2020-12-10 01:21:14,0.31
2020-12-10 01:21:24,0.31
2020-12-10 01:21:34,0.3
2020-12-10 01:21:44,0.3
2020-12-10 01:21:54,0.32
2020-12-10 01:22:04,0.35
2020-12-10 01:22:14,0.33
2020-12-10 01:22:24,0.36
2020-12-10 01:22:34,0.35
2020-12-10 01:22:44,0.34
2020-12-10 01:22:54,0.37
2020-12-10 01:23:04,0.35
2020-12-10 01:23:14,0.33
2020-12-10 01:23:24,0.35
2020-12-10 01:23:34,0.34
2020-12-10 01:23:44,0.37
2020-12-10 01:23:54,0.34
2020-12-10 01:24:04,0.33
2020-12-10 01:24:14,0.36
2020-12-10 01:24:24,0.35
2020-12-10 01:24:34,0.33
2020-12-10 01:24:44,0.36
2020-12-10 01:24:54,0.36
2020-12-10 01:25:04,0.35
2020-12-10 01:25:14,0.35
2020-12-10 01:25:24,0.34
2020-12-10 01:25:34,0.3
2020-12-10 01:25:44,0.31
2020-12-10 01:25:54,0.29
2020-12-10 01:26:04,0.3
2020-12-10 01:26:14,0.31
2020-12-10 01:26:24,0.28
2020-12-10 01:26:34,0.29
2020-12-10 01:26:44,0.3
2020-12-10 01:26:54,0.31
2020-12-10 01:27:04,0.3
2020-12-10 01:27:14,0.31
2020-12-10 01:27:24,0.3
2020-12-10 01:27:34,0.3
2020-12-10 01:27:44,0.28
2020-12-10 01:27:54,0.29
2020-12-10 01:28:04,0.31
2020-12-10 01:28:14,0.3
2020-12-10 01:28:24,0.29
2020-12-10 01:28:34,0.31
2020-12-10 01:28:44,0.3
2020-12-10 01:28:54,0.3
2020-12-10 01:29:04,0.3
2020-12-10 01:29:14,0.28
2020-12-10 01:29:24,0.29
2020-12-10 01:29:34,0.3
2020-12-10 01:29:44,0.31
2020-12-10 01:29:54,0.29
2020-12-10 01:30:04,0.28
2020-12-10 01:30:14,0.29
2020-12-10 01:30:24,0.29
2020-12-10 01:30:34,0.29
2020-12-10 01:30:44,0.29
2020-12-10 01:30:54,0.31
2020-12-10 01:31:04,0.31
2020-12-10 01:31:14,0.3
2020-12-10 01:31:24,0.27
2020-12-10 01:31:34,0.32
2020-12-10 01:31:44,0.29
2020-12-10 01:31:54,0.28
2020-12-10 01:32:04,0.3
2020-12-10 01:32:14,0.29
2020-12-10 01:32:24,0.3
2020-12-10 01:32:34,0.31
2020-12-10 01:32:44,0.31
2020-12-10 01:32:54,0.29
2020-12-10 01:33:04,0.29
2020-12-10 01:33:14,0.3
2020-12-10 01:33:24,0.3
2020-12-10 01:33:34,0.28
2020-12-10 01:33:44,0.3
2020-12-10 01:33:54,0.29
2020-12-10 01:34:04,0.32
2020-12-10 01:34:14,0.3
2020-12-10 01:34:24,0.28
2020-12-10 01:34:34,0.29
2020-12-10 01:34:44,0.31
2020-12-10 01:34:54,0.28
2020-12-10 01:35:04,0.31
2020-12-10 01:35:14,0.31
2020-12-10 01:35:24,0.29
2020-12-10 01:35:34,0.32
2020-12-10 01:35:44,0.31
2020-12-10 01:35:54,0.31
2020-12-10 01:36:04,0.31
2020-12-10 01:36:14,0.29
2020-12-10 01:36:24,0.31
2020-12-10 01:36:34,0.31
2020-12-10 01:36:44,0.3
2020-12-10 01:36:54,0.33
2020-12-10 01:37:04,0.35
